temperature_C,z_height
150.0,-7.953333333333333
160.0,-7.949166666666667
170.0,-7.951249999999999
180.0,-7.947500000000001
190.0,-7.947500000000001
200.0,-7.947500000000001
210.0,-7.947916666666667
220.0,-7.95
230.0,-7.947916666666667
240.0,-7.954999999999999
250.0,-7.9504166666666665
260.0,-7.948333333333333
270.0,-7.947500000000001
280.0,-7.947500000000001
